Rounds,Winners,Tranfers,Excluded,Aont�,Fianna F�il,Fine Gael,Green Party/ Comhaontas Glas,Independents 4 Change,Irish Democratic Party,Irish Freedom Party,Non-Party,Renua Ireland,Sinn F�in,Social Democrats,Solidarity - People Before Profit,The Labour Party,The National Party - An P�irt� N�isi�nta,United People,Workers Party
1,34,0,0,0,0,2,1,0,0,0,4,0,27,0,0,0,0,0,0
2,5,135218,24,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0
3,1,47374,60,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,2,60424,55,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,7,93485,42,0,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0
6,18,100455,41,1,5,3,3,1,0,0,2,0,3,0,0,0,0,0,0
7,9,95848,30,0,3,2,1,0,0,0,2,0,0,0,1,0,0,0,0
8,32,89871,28,0,11,10,1,0,0,0,3,0,3,1,1,2,0,0,0
9,11,52220,16,0,2,3,2,0,0,0,1,0,0,1,1,1,0,0,0
10,14,44675,13,0,3,6,1,0,0,0,2,0,1,0,0,1,0,0,0
11,10,35433,10,0,5,2,1,0,0,0,2,0,0,0,0,0,0,0,0
12,3,21103,5,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
13,1,14535,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,7,15832,4,0,1,1,0,0,0,0,1,0,0,2,1,1,0,0,0
15,5,6017,2,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
